1111,W,4,Kayns,1,4,0,Prox,0,
1121,U,3,Rhones,1,6,1,0,0,
1122,A,5,Yesters,1,7,1,Glane,0,
1131,L,4,Suvans,1,4,1,Dindin,3,
1132,W,4,Urgaks,0,4,0,0,0,
1211,S,6,Kayns,1,7,1,Crunge,0,
1221,U,3,Segundens,1,8,1,0,0,
1222,L,3,Segundens,1,7,1,0,0,
1223,W,4,Borks,0,6,0,Ymbarrors,0,
1311,U,5,Segundens,1,10,1,Vorozion,0,
1411,S,5,Piorads,1,5,1,Stromuse,0,
1421,U,4,Rhones,1,7,1,Zernipaks,0,
1422,W,5,Rhones,1,7,1,0,0,
1431,F,2,Xanthons,1,2,0,0,0,
1432,W,4,Saurians,1,6,1,Zops,0,
1511,U,4,Saurians,1,7,1,0,0,
1512,A,3,Anons,0,1,0,0,0,
1521,U,5,Rhones,1,7,1,Muggers,0,
1522,W,3,Rhones,1,4,0,Chlorofix,0,
1611,W,6,Rhones,1,8,1,0,0,
1621,U,6,Rhones,1,7,1,0,0,
1622,S,2,Rhones,1,2,0,0,0,
1623,W,3,Rhones,1,3,0,0,0,
1631,W,5,Saurians,1,7,1,Rotrons,0,
2111,A,3,Yesters,1,5,1,Derigions,0,
2121,U,3,Ultraks,0,8,0,0,2,
2122,W,3,Kayns,1,4,0,Margons,0,
2211,W,4,Saurians,1,6,1,Snow Giants,0,
2221,U,6,Yesters,1,9,1,Laboroids,3,
2231,A,5,Yesters,1,7,1,Drants,0,
2232,W,3,Charkhans,0,5,1,Mish,0,
2311,U,3,Rhones,1,6,1,Propangs,4,
2312,A,3,Yesters,1,5,1,0,0,
2321,U,4,Segundens,1,7,1,Drusers,0,
2322,S,2,Piorads,1,2,0,0,0,
2323,W,3,Ursi,0,3,0,Batranobans,0,
2411,L,3,Suvans,1,3,0,Gilekites,1,
2412,W,5,Rhones,1,7,1,Sandiabs,0,
3111,U,3,Rhones,1,5,0,Namdasns,0,
3112,W,4,Mowevs,0,1,0,0,0,
3121,A,4,Yesters,1,6,1,Verfusiers,0,
3122,W,5,Kirts,0,5,0,Graggs,0,
3211,U,3,Saurians,1,6,1,Alweg,0,
3221,S,3,Calmas,0,5,1,Arags,6,
3222,W,4,Moghas,0,2,0,Chantenes,0,
3231,U,5,Rhones,1,8,1,0,0,
3232,W,4,Rhones,1,6,1,Queemers,0,
3311,U,4,Saurians,1,7,1,0,3,
3411,L,3,Suvans,1,3,0,Morna,2,
3412,W,4,Deaxins,0,2,0,Vrialta,0,
3421,U,2,Suvans,1,4,0,Synestins,0,
3422,L,3,Suvans,1,3,0,0,0,
3423,S,4,Rylians,0,6,0,Elliad,0,
3511,L,3,Suvans,1,3,0,Gyrogos,7,
3521,U,3,Saurians,1,4,0,Leonus,0,
4111,U,6,Rhones,1,8,1,Sekekers,0,
4121,L,5,Phans,0,7,1,Virus,0,
4122,W,5,Leonids,0,7,0,0,8,
4211,U,3,Segundens,1,8,1,0,1,
4212,W,4,Rhones,1,6,1,Frost Mist,0,
4311,L,6,Henones,0,10,1,Snorkas,0,
4321,U,4,Susperans,0,7,0,Telebots,2,
4322,S,3,Piorads,1,3,0,0,0,
4323,W,5,Thoks,0,3,0,Gadhars,0,
4331,S,4,Piorads,1,4,0,Kinsogs,0,
4332,W,3,Illias,0,5,1,0,0,
4411,W,3,Theshians,0,7,1,Thunks,9,
4421,U,3,Piorads,1,4,0,0,0,
4422,S,4,Piorads,1,4,0,Gamels,0,
4511,S,4,Piorads,1,4,0,Spithids,0,
5111,U,5,Jopers,0,10,0,Hysnatons,10,
5121,W,5,Ardorats,0,7,0,Gachs,1,
5131,U,3,Ornotins,0,6,0,0,0,
5132,F,5,Xanthons,1,4,0,Mish,0,
5211,U,4,Segundens,1,9,1,Chardireeds,11,
5221,F,4,Xanthons,1,3,0,Onflams,0,
5231,S,2,Rhones,1,4,0,0,2,
5232,W,3,Rhones,1,5,1,Thinagigs,0,
5311,F,4,Xanthons,1,3,0,0,0,
5411,A,4,Cavalkus,0,8,1,Fog,12,
5421,U,4,Rhones,1,6,1,Valaterix,0,
5422,W,3,Rhones,1,4,0,0,0,
5511,W,4,Kayns,1,5,1,Wyths,0,
